Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.045000	4.870508	3.627374	11.444097	24.582000	
0.044100	3.580646	2.913253	26.948789	36.044000	
0.043218	3.130292	2.582533	34.219191	42.190000	
0.042354	2.883768	2.376676	38.367362	46.122000	
0.041507	2.727109	2.346353	41.087148	46.664000	
0.040676	2.616005	2.205767	43.046143	49.546000	
0.039863	2.534138	2.152077	44.566008	50.406000	
0.039066	2.471519	2.113102	45.692481	51.258000	
0.038284	2.419928	2.020451	46.585963	53.080000	
0.037519	2.372041	1.962280	47.499271	53.992000	
0.036768	2.333647	1.954505	48.189032	54.060000	
0.036033	2.301203	1.914106	48.796369	55.170000	
0.035312	2.271951	1.904314	49.361011	54.972000	
0.034606	2.245743	1.890883	49.771183	55.462000	
0.033914	2.220452	1.869205	50.295003	55.652000	
0.033236	2.200513	1.854164	50.665602	56.398000	
0.032571	2.178672	1.844254	51.070780	56.270000	
0.031919	2.156368	1.820268	51.496485	57.216000	
0.031281	2.141856	1.772344	51.738218	57.624000	
0.030655	2.124802	1.767570	52.107335	57.744000	
0.030042	2.108594	1.808411	52.392387	56.904000	
0.029442	2.091959	1.761456	52.687743	58.088000	
0.028853	2.080505	1.742047	52.973576	58.472000	
0.028276	2.064109	1.720097	53.233729	58.944000	
0.027710	2.053594	1.714258	53.441977	58.868000	
0.027156	2.039364	1.745218	53.751382	58.628000	
0.026613	2.028279	1.709340	53.944566	58.934000	
0.026081	2.016406	1.689860	54.169829	59.600000	
0.025559	2.003776	1.670123	54.421240	59.828000	
0.025048	1.994525	1.648724	54.590539	60.574000	
0.024547	1.982055	1.652329	54.870518	60.358000	
0.024056	1.973707	1.627548	55.041690	60.872000	
0.023575	1.965254	1.615062	55.200296	61.064000	
0.023103	1.954484	1.632746	55.372014	60.718000	
0.022641	1.945185	1.631682	55.590331	60.603999	
0.022188	1.934283	1.627677	55.808647	60.605999	
0.021745	1.924765	1.616466	55.967253	60.891999	
0.021310	1.915912	1.574280	56.119536	61.837999	
0.020884	1.907395	1.585556	56.325754	61.619999	
0.020466	1.899637	1.554772	56.440805	62.339999	
0.020057	1.892026	1.568731	56.632505	61.795999	
0.019655	1.882364	1.582414	56.802429	62.019999	
0.019262	1.874564	1.546127	56.962439	62.345999	
0.018877	1.865051	1.582865	57.150627	61.607999	
0.018499	1.856748	1.556352	57.282538	62.459999	
0.018130	1.849746	1.553862	57.440284	62.359999	
0.017767	1.843192	1.530194	57.568683	62.963999	
0.017412	1.834310	1.528591	57.787078	62.893999	
0.017063	1.827445	1.515955	57.821968	63.315999	
0.016722	1.817012	1.512069	58.125363	63.131999	
0.016388	1.809987	1.537774	58.252591	62.836000	
0.016060	1.802999	1.528794	58.419236	62.789999	
0.015739	1.799271	1.502747	58.534365	63.311999	
0.015424	1.791912	1.495484	58.593140	63.375999	
0.015115	1.784380	1.506860	58.808178	63.601999	
0.014813	1.777615	1.475276	58.913316	64.168000	
0.014517	1.769174	1.491710	59.002454	63.787999	
0.014227	1.763900	1.472563	59.162933	64.123999	
0.013942	1.754632	1.464233	59.365248	64.275999	
0.013663	1.747622	1.464436	59.516907	64.335999	
0.013390	1.740514	1.453637	59.674341	64.567999	
0.013122	1.731537	1.458712	59.813433	64.359999	
0.012860	1.728680	1.471673	59.913264	64.283999	
0.012602	1.722073	1.434761	60.023164	64.823999	
0.012350	1.714105	1.430339	60.158899	65.033999	
0.012103	1.706494	1.442063	60.344433	64.765999	
0.011861	1.704160	1.423109	60.399539	65.327999	
0.011624	1.695065	1.407733	60.568292	65.458000	
0.011392	1.689039	1.416197	60.654697	65.203999	
0.011164	1.681876	1.401379	60.852486	65.491999	
0.010941	1.677940	1.401675	60.898538	65.517999	
0.010722	1.671339	1.396371	61.024048	65.905999	
0.010507	1.666832	1.398686	61.143314	65.643999	
0.010297	1.657485	1.399106	61.346254	65.387999	
0.010091	1.653580	1.375728	61.429850	66.597999	
0.009889	1.645656	1.377224	61.555673	66.329999	
0.009692	1.638500	1.375111	61.740660	66.422000	
0.009498	1.635329	1.392355	61.781248	66.109999	
0.009308	1.629617	1.386683	61.916516	66.171999	
0.009122	1.624868	1.371668	62.006356	66.243999	
0.008939	1.616657	1.363953	62.177372	66.417999	
0.008760	1.610015	1.370392	62.355412	66.373999	
0.008585	1.606761	1.345919	62.402635	66.783999	
0.008414	1.600991	1.352261	62.470386	66.657999	
0.008245	1.597118	1.355411	62.546878	66.915999	
0.008080	1.591886	1.347678	62.733427	66.708000	
0.007919	1.582230	1.335762	62.862138	67.109999
0.007760	1.580979	1.341868	62.921849	67.033999	
0.007605	1.574877	1.339929	63.038696	67.157999	
0.007453	1.566384	1.331674	63.200892	67.061999	
0.007304	1.562089	1.335797	63.294322	67.295999	
0.007158	1.558236	1.331284	63.380337	67.253999	
0.007015	1.552116	1.323898	63.486256	67.569999	
0.006874	1.548244	1.322463	63.586243	67.537999	
0.006737	1.543868	1.321752	63.701139	67.423999	
0.006602	1.536810	1.318717	63.806667	67.561999	
0.006470	1.532111	1.312084	63.929212	67.785999	
0.006341	1.529153	1.308714	64.005392	67.631999	
0.006214	1.522769	1.295807	64.073846	68.227999	
0.006090	1.518404	1.296863	64.273976	67.931999	
0.005968	1.512813	1.291959	64.304104	68.249999	
0.005849	1.507361	1.307506	64.448270	67.857999	
0.005732	1.504022	1.312768	64.504625	67.883999	
0.005617	1.496775	1.293761	64.660498	68.068000	
0.005505	1.494143	1.293912	64.734727	68.195999	
0.005394	1.489338	1.290064	64.849701	68.181999	
0.005287	1.485489	1.286189	64.909022	68.253999	
0.005181	1.479032	1.282348	65.071061	68.254000	
0.005077	1.474067	1.275150	65.175185	68.385999	
0.004976	1.468954	1.279611	65.282275	68.437999	
0.004876	1.464226	1.276992	65.348621	68.567999	
0.004779	1.457803	1.271432	65.472336	68.571999	
0.004683	1.455424	1.267215	65.530330	68.521999	
0.004589	1.451920	1.259041	65.635625	68.887999	
0.004498	1.447295	1.274991	65.733582	68.573999	
0.004408	1.443833	1.256883	65.812729	68.943999	
0.004320	1.439144	1.269587	65.873611	68.667999	
0.004233	1.435124	1.257123	65.993736	69.019999	
0.004148	1.429523	1.258265	66.096143	69.051999	
0.004066	1.425466	1.248729	66.154449	69.141999	
0.003984	1.419229	1.261192	66.311025	68.961999	
0.003905	1.417072	1.246695	66.387517	69.109999	
0.003826	1.415223	1.235023	66.394933	69.347999	
0.003750	1.409904	1.239942	66.526844	69.579999	
0.003675	1.406435	1.241613	66.564387	69.431999	
0.003601	1.402565	1.240281	66.690757	69.241999	
0.003529	1.399121	1.235575	66.766781	69.319999	
0.003459	1.393093	1.235912	66.854904	69.373999	
0.003390	1.391984	1.230700	66.926948	69.622000	
0.003322	1.384216	1.228132	67.052458	69.723999	
0.003255	1.382104	1.223869	67.127156	69.703999	
0.003190	1.379141	1.220228	67.204585	69.797999	
0.003126	1.372971	1.223231	67.305509	69.817999	
0.003064	1.370031	1.218699	67.388636	69.629999	
0.003003	1.364835	1.218421	67.491667	69.773999	
0.002943	1.362721	1.217244	67.527104	69.826000	
0.002884	1.357509	1.208966	67.610153	70.029999	
0.002826	1.355323	1.207418	67.725516	69.983999	
0.002770	1.350349	1.208970	67.809580	70.083999	
0.002714	1.344796	1.203798	67.922993	70.117999	
0.002660	1.345510	1.204680	67.914407	70.145999	
0.002607	1.339622	1.207149	68.021809	70.173999	
0.002555	1.335596	1.208921	68.147085	70.081999	
0.002503	1.334881	1.199198	68.133035	70.315999	
0.002453	1.329996	1.196812	68.244652	70.149999	
0.002404	1.324709	1.199974	68.354162	70.333999	
0.002356	1.324010	1.200099	68.418244	70.295999	
0.002309	1.317061	1.201684	68.475067	70.259999	
0.002263	1.313969	1.200683	68.590977	70.279999	
0.002218	1.314784	1.194365	68.597144	70.267999	
0.002173	1.308843	1.184255	68.699550	70.545999	
0.002130	1.306264	1.190079	68.758013	70.431999	
0.002087	1.303329	1.191198	68.801723	70.681999	
0.002046	1.299619	1.194536	68.918803	70.279999	
0.002005	1.295824	1.185676	68.980778	70.591999	
0.001965	1.292041	1.180916	69.076394	70.643999	
0.001925	1.291302	1.183159	69.069682	70.749999	
0.001887	1.286656	1.188743	69.196597	70.349999	
0.001849	1.283467	1.184417	69.272856	70.623999	
0.001812	1.278096	1.188322	69.329601	70.723999	
0.001776	1.277116	1.185805	69.397508	70.891999	
0.001740	1.273261	1.172860	69.454409	70.955999	
0.001705	1.269664	1.182112	69.574222	70.757999	
0.001671	1.267199	1.185975	69.638928	70.757999	
0.001638	1.262022	1.168827	69.739149	71.015999	
0.001605	1.259701	1.166403	69.796051	70.975999	
0.001573	1.257877	1.168943	69.856542	71.165999	
0.001542	1.256152	1.180108	69.868641	70.813999	
0.001511	1.252343	1.164402	69.999615	71.175999	
0.001481	1.250525	1.168547	69.996024	70.855999	
0.001451	1.244731	1.173421	70.118101	70.965999	
0.001422	1.244671	1.170714	70.098197	70.847999	
0.001393	1.241250	1.162620	70.190535	71.039999	
0.001366	1.236265	1.164821	70.290756	71.091999	
0.001338	1.236185	1.165160	70.268276	71.268000	
0.001312	1.234083	1.161977	70.355150	71.199999	
0.001285	1.231316	1.161248	70.480505	71.425999	
0.001260	1.227522	1.155314	70.505326	71.348000	
0.001234	1.224280	1.152393	70.576979	71.425999	
0.001210	1.223877	1.156029	70.566364	71.343999	
0.001186	1.218669	1.154137	70.708422	71.451999	
0.001162	1.215946	1.154034	70.793579	71.447999	
0.001139	1.215516	1.152168	70.788115	71.483999	
0.001116	1.211963	1.156763	70.858519	71.431999	
0.001093	1.209386	1.151091	70.897234	71.609999	
0.001072	1.206892	1.153870	70.993787	71.495999	
0.001050	1.204109	1.143542	70.996441	71.713999	
0.001029	1.202635	1.146953	71.058103	71.653999	
0.001009	1.198705	1.147586	71.168081	71.591999	
0.000988	1.197027	1.150546	71.210386	71.481999	
0.000969	1.194523	1.146240	71.206171	71.711999	
0.000949	1.193150	1.145615	71.283210	71.681999	
0.000930	1.192249	1.146216	71.313729	71.661999	
0.000912	1.188190	1.143381	71.363684	71.617999	
0.000893	1.184819	1.144083	71.415199	71.649999	
0.000876	1.181358	1.145906	71.495439	71.491999	
0.000858	1.181910	1.143059	71.524631	71.709999	
0.000841	1.177913	1.138661	71.580908	71.849999	
0.000824	1.177293	1.141331	71.638980	71.727999	
0.000808	1.176577	1.139656	71.675821	71.805999	
0.000791	1.172372	1.139900	71.716175	71.849999	
0.000776	1.171725	1.134165	71.713833	71.965999	
0.000760	1.166625	1.141458	71.867131	71.699999	
0.000745	1.165542	1.140717	71.901006	71.711999	
0.000730	1.163216	1.141136	71.932462	71.629999	
0.000715	1.159828	1.140631	72.016136	71.715999	
0.000701	1.157547	1.137614	72.014575	71.863999	
0.000687	1.157620	1.138090	72.053758	71.777999	
0.000673	1.156497	1.135426	72.110659	71.909999	
0.000660	1.154673	1.133002	72.118230	72.147999	
0.000647	1.151387	1.130195	72.214236	71.999999	
0.000634	1.148688	1.131565	72.255293	71.979999	
0.000621	1.147807	1.125820	72.292603	71.979999	
0.000609	1.147728	1.131345	72.291276	72.017999	
0.000596	1.145905	1.132873	72.352236	72.047999	
0.000585	1.141821	1.131642	72.417176	72.031999	
0.000573	1.141661	1.128926	72.386111	72.113999	
0.000561	1.140591	1.128936	72.479307	72.049999	
0.000550	1.135362	1.134013	72.577577	71.989999	
0.000539	1.136008	1.127037	72.524657	72.011999	
0.000528	1.135014	1.126604	72.578280	72.061999	
0.000518	1.132020	1.124973	72.652040	72.137999	
0.000507	1.129520	1.130948	72.691302	72.049999	
0.000497	1.127312	1.124649	72.711205	72.291999	
0.000487	1.127493	1.125986	72.803621	72.163999	
0.000478	1.123898	1.122103	72.859508	72.439999	
0.000468	1.123829	1.122764	72.843507	72.199999	
0.000459	1.121734	1.120588	72.861225	72.199999	
0.000450	1.120819	1.119902	72.887139	72.199999	
0.000441	1.118508	1.120818	72.941776	72.135999	
0.000432	1.117831	1.121184	72.982208	72.371999	
0.000423	1.116867	1.123597	73.000395	72.173999	
0.000415	1.113200	1.126046	73.091952	72.327999	
0.000406	1.113345	1.122191	73.061979	72.459999	
0.000398	1.111901	1.121123	73.150883	72.303999	
0.000390	1.106254	1.118224	73.191939	72.441999	
0.000382	1.109871	1.120571	73.187646	72.443999	
0.000375	1.107034	1.120456	73.184446	72.229999	
0.000367	1.108248	1.124866	73.155019	72.245999	
0.000360	1.103500	1.116290	73.269837	72.353999	
0.000353	1.101998	1.122062	73.376224	72.211999	
0.000346	1.102639	1.122408	73.320728	72.303999	
0.000339	1.099009	1.122136	73.334699	72.303999	
0.000332	1.097788	1.119271	73.441867	72.275999	
0.000325	1.098060	1.118802	73.406977	72.301999	
0.000319	1.097047	1.120888	73.435467	72.403999	
0.000312	1.095324	1.113334	73.510477	72.445999	
0.000306	1.093453	1.117675	73.503374	72.235999	
0.000300	1.091701	1.117260	73.565973	72.353999	
0.000294	1.089850	1.116229	73.614756	72.453999	
0.000288	1.090720	1.116253	73.581974	72.307999	
0.000282	1.089092	1.117055	73.650115	72.269999	
0.000277	1.087011	1.115144	73.651052	72.503999	
0.000271	1.088408	1.120334	73.632006	72.367999	
0.000266	1.086319	1.116838	73.701396	72.501999	
0.000261	1.084756	1.117402	73.732384	72.437999	
0.000255	1.081526	1.118736	73.800447	72.331999	
0.000250	1.079992	1.114840	73.821989	72.495999	
0.000245	1.078550	1.114399	73.832839	72.573999	
0.000240	1.079861	1.114598	73.874207	72.451999	
0.000236	1.079811	1.113669	73.870617	72.481999	
0.000231	1.076121	1.113947	73.937821	72.463999	
0.000226	1.077182	1.115639	73.882403	72.483999	
0.000222	1.075366	1.114371	73.934465	72.425999	
0.000217	1.073389	1.115266	73.960379	72.517999	
0.000213	1.072375	1.115653	74.030159	72.519999	
0.000209	1.071294	1.115439	74.010802	72.409999	
0.000204	1.071926	1.116398	74.014158	72.491999	
0.000200	1.069919	1.110241	74.057010	72.529999	
0.000196	1.068626	1.119133	74.112506	72.513999	
0.000192	1.068488	1.113091	74.073713	72.555999	
0.000189	1.067725	1.113921	74.084406	72.479999	
0.000185	1.068033	1.113264	74.100954	72.599999	
0.000181	1.069451	1.111767	74.072074	72.629999
0.000177	1.067169	1.113837	74.143181	72.583999
0.000174	1.065175	1.111512	74.195321	72.571999	
0.000170	1.062911	1.111453	74.219986	72.539999	
0.000167	1.062649	1.111263	74.252222	72.575999	
0.000164	1.063643	1.108008	74.209761	72.477999	
0.000160	1.062043	1.112852	74.232475	72.525999	
0.000157	1.062252	1.113765	74.262994	72.455999	
0.000154	1.059111	1.109947	74.288673	72.557999	
0.000151	1.060238	1.111100	74.296401	72.605999	
0.000148	1.059782	1.113480	74.294137	72.653999	
0.000145	1.057290	1.110162	74.347292	72.445999	
0.000142	1.057864	1.113248	74.351116	72.503999	
0.000139	1.055101	1.109782	74.399900	72.691999	
0.000136	1.055971	1.111343	74.407315	72.583999	
0.000134	1.055022	1.112482	74.456255	72.569999	
0.000131	1.051926	1.113547	74.478422	72.493999	
0.000128	1.049872	1.111315	74.555617	72.593999	
0.000126	1.051883	1.110015	74.474207	72.557999	
0.000123	1.050342	1.113704	74.491847	72.613999	
0.000121	1.051446	1.106773	74.472334	72.579999	
0.000118	1.051826	1.113058	74.512766	72.539999	
0.000116	1.053120	1.107743	74.449308	72.613999	
0.000114	1.049516	1.112030	74.554525	72.535999	
0.000112	1.047364	1.110459	74.580985	72.479999	
0.000109	1.048771	1.109192	74.557100	72.571999	
0.000107	1.046569	1.110841	74.656697	72.635999	
0.000105	1.046837	1.105479	74.628208	72.673999	
0.000103	1.045730	1.108827	74.636325	72.597999	
0.000101	1.045617	1.107273	74.640072	72.613999	
0.000099	1.043670	1.108055	74.684484	72.689999	
0.000097	1.045127	1.107776	74.636169	72.751999	
0.000095	1.045380	1.106570	74.661615	72.657999	
0.000093	1.045792	1.106136	74.646784	72.719999	
0.000091	1.042518	1.105135	74.682845	72.765999	
0.000089	1.044870	1.106908	74.620324	72.723999
0.000088	1.041735	1.107159	74.756606	72.727999	
0.000086	1.042336	1.109154	74.731004	72.561999	
0.000084	1.040434	1.107855	74.757777	72.601999	
0.000082	1.040981	1.108203	74.730224	72.707999	
0.000081	1.039261	1.113393	74.754655	72.509999	
0.000079	1.039369	1.111000	74.769095	72.737999	
0.000078	1.041330	1.108562	74.755201	72.699999	
0.000076	1.039861	1.109728	74.742712	72.653999	
0.000074	1.036862	1.107422	74.834426	72.727999	
0.000073	1.039845	1.110499	74.793057	72.701999	
0.000072	1.037786	1.109758	74.804063	72.683999	
0.000070	1.037596	1.105752	74.831304	72.711999	
0.000069	1.037373	1.111819	74.865803	72.709999	
0.000067	1.036188	1.107755	74.890859	72.665999	
0.000066	1.037676	1.109705	74.794072	72.701999	
0.000065	1.036929	1.106853	74.856827	72.651999	
0.000063	1.035514	1.106576	74.846134	72.727999	
0.000062	1.035195	1.106617	74.888595	72.771999	
0.000061	1.036505	1.108329	74.844026	72.731999	
0.000060	1.035286	1.107717	74.902255	72.703999	
0.000058	1.035910	1.106331	74.851910	72.677999	
0.000057	1.033872	1.107316	74.851285	72.759999	
0.000056	1.035061	1.107176	74.886956	72.655999	
0.000055	1.033481	1.104491	74.935505	72.729999	
0.000054	1.033995	1.108655	74.900928	72.749999	
0.000053	1.033797	1.107223	74.936442	72.709999	
0.000052	1.034080	1.111632	74.894137	72.663999	
0.000051	1.034080	1.110853	74.935115	72.617999	
0.000050	1.031579	1.105555	74.966571	72.743999	
0.000049	1.030753	1.104892	75.013872	72.821999	
0.000048	1.031414	1.108087	75.015511	72.797999	
0.000047	1.031281	1.103745	74.949867	72.839999	
0.000046	1.031746	1.108230	74.980464	72.783999	
0.000045	1.031117	1.112608	74.931915	72.701999	
0.000044	1.028208	1.109750	75.031434	72.749999	
0.000043	1.030950	1.108435	74.993421	72.619999	
0.000042	1.030327	1.105411	74.971879	72.839999	
0.000041	1.028714	1.107420	75.015120	72.827999	
0.000041	1.029982	1.104796	74.976640	72.717999	
0.000040	1.028080	1.106986	75.017150	72.771999	
0.000039	1.029193	1.107760	75.000993	72.713999	
0.000038	1.026256	1.105065	75.059221	72.841998	
0.000037	1.029778	1.105315	74.998885	72.737998	
0.000037	1.027691	1.106353	75.055396	72.899997	
0.000036	1.027671	1.105033	75.072412	72.751997	
0.000035	1.028410	1.104016	75.030731	72.907998	
0.000035	1.027537	1.105570	75.064841	72.699997	
0.000034	1.027968	1.106564	75.033385	72.815997	
0.000033	1.028120	1.106143	75.044859	72.793998	
0.000033	1.024375	1.105443	75.122757	72.675998	
0.000032	1.024765	1.106909	75.111361	72.897998	
0.000031	1.024655	1.104989	75.113780	72.783997	
0.000031	1.025633	1.107090	75.100902	72.757997	
0.000030	1.027405	1.106421	75.064685	72.709998	
0.000029	1.025138	1.103132	75.134699	72.811998	
